,Address,Longitude,Latitude,Rent,URL,Type
80,"8901 N Chestnut Ave, Kansas City, MO 64156",-94.5460696902328,39.2549671,"$1,363 - 1,602",https://www.apartments.com/apex-on-quality-hill-kansas-city-mo/xeq5thq/,apartment
81,"717 W 101st Ter, Kansas City, MO 64114",-94.5957981,38.9439842,"$1,192 - 1,267",https://www.apartments.com/west-39th-street-kansas-city-mo/ewhlf0p/,apartment
82,"7441 NW Old Tiffany Springs Rd, Kansas City, MO 64153",-94.66238044702024,39.26041482718086,"$995 - 1,415",https://www.apartments.com/the-landings-at-river-market-kansas-city-mo/e9m2f2n/,apartment
83,"9300 NE 87th St, Kansas City, MO 64157",-94.467035,39.250604,"$1,310 - 1,750",https://www.apartments.com/city-place-at-westport-kansas-city-mo/nznh7zm/,apartment
84,"127-129 E 46th St, Kansas City, MO 64112",-94.58589275560344,39.0432194,"$1,195",https://www.apartments.com/barrewoods-apartments-kansas-city-mo/bvx8388/,apartment
85,"2900 NE Barry Rd, Kansas City, MO 64156",-94.54427757656096,39.2475484179091,"$1,025 - 1,170",https://www.apartments.com/altitude-970-kansas-city-mo/g65egbw/,apartment
86,"701 Westport Rd, Kansas City, MO 64111",-94.59454306980265,39.051325750000004,"$1,329 - 2,308",https://www.apartments.com/cambria-kansas-city-mo/sskg245/,apartment
87,"11201 Montgall Ave, Kansas City, MO 64137",-94.55867863570171,38.9227512,"$1,180 - 1,780",https://www.apartments.com/the-life-at-highland-village-kansas-city-mo/ybs9lgs/,apartment
88,"8940 N Shannon Ave, Kansas City, MO 64153",-94.66913822385257,39.256881008103115,"$1,120 - 1,969",https://www.apartments.com/hudson-pointe-kansas-city-mo/q2zptzy/,apartment
89,"8111 N Denver Ave, Kansas City, MO 64119",-94.51702745229693,39.2406006670521,"$983 - 1,318",https://www.apartments.com/riverstone-apartments-kansas-city-mo/pj80vdr/,apartment
90,"4341 Mercier St, Kansas City, MO 64111",-94.60123805993409,39.04939651987016,"$995 - 1,095",https://www.apartments.com/flats-at-wildwood-raytown-mo/yhk50er/,apartment
91,"1282-1282 NW Vivion Rd, Kansas City, MO 64118",-94.5950722,39.182545,"$1,105 - 1,340",https://www.apartments.com/west-hill-apartments-kansas-city-mo/qwyprhz/,apartment
92,"8501 N Platte Purchase Dr, Kansas City, MO 64155",-94.600849,39.24813,"$979 - 1,326",https://www.apartments.com/west-bottoms-flats-kansas-city-mo/t66xfsc/,apartment
93,"4027 N Bennington Ave, Kansas City, MO 64117",-94.50222763481455,39.16663844748066,$905,https://www.apartments.com/plaza-club-city-apartments-kansas-city-mo/j4zzgt4/,apartment
94,"10500 Hillcrest Rd, Kansas City, MO 64134",-94.522815,38.935738,"$870 - 1,030",https://www.apartments.com/haven-kansas-city-mo/nc6tkhn/,apartment
95,"8600 Buckingham Ln, Kansas City, MO 64138",-94.487227,38.987683,$755 - 775,https://www.apartments.com/clear-view-kansas-city-mo/3f12tdg/,apartment
96,"1106 W 47th St, Kansas City, MO 64112",-94.60046180179818,39.04313569999999,"$1,295 - 1,600",https://www.apartments.com/the-drake-kansas-city-mo/kngbr0b/,apartment
97,"925 Wyoming St, Kansas City, MO 64101",-94.6040854802,39.10337475,"$1,079 - 2,823",https://www.apartments.com/the-flats-at-minor-park-kansas-city-mo/t70vcgb/,apartment
98,"4621 Jefferson St, Kansas City, MO 64112",-94.594528,39.042805,"$840 - 1,305",https://www.apartments.com/woodside-village-north-westwood-ks/mfqex9l/,apartment
