,Address,Latitude,Longitude,Type
143,"Antioch Rd, Kansas City, MO 64119",39.1949511,-94.5486005,Apartment
144,"111 NW 94th St, Kansas City, MO 64155",39.2635052,-94.58069239,Apartment
145,"500 E 3rd St, Kansas City, MO 64106",39.11122535,-94.57839738,Apartment
146,"1500 E 29th St, Kansas City, MO 64109",39.07444595,-94.56480706,Apartment
147,"8261 N Tullis Ave, Kansas City, MO 64158",39.24052732,-94.48504836,Apartment
148,"1700 Madison Ave, Kansas City, MO 64108",39.092946,-94.594664,Apartment
149,"8031 NW Milrey Dr, Kansas City, MO 64152",39.24051862,-94.66269901,Apartment
150,"8504 N Cosby Ave, Kansas City, MO 64154",39.2577971,-94.6431638,Apartment
151,"600 Central St, Kansas City, MO 64105",39.1063055,-94.58637121,Apartment
152,"525 NW 55th Ter, Kansas City, MO 64118",39.1946498,-94.5875062,Apartment
153,"4410 Jarboe St, Kansas City, MO 64111",39.04779282,-94.59951557,Apartment
154,"722 Walnut St, Kansas City, MO 64106",39.10519794,-94.58186278,Apartment
155,"9905 Locust St, Kansas City, MO 64131",38.94746844,-94.5864662,Apartment
156,"700 Ward Pky, Kansas City, MO 64112",39.04008855,-94.59573824,Apartment
157,"5300-5320 Longview Rd, Kansas City, MO 64137",38.9163941,-94.5282175,Apartment
158,"3936 Pennsylvania Ave, Kansas City, MO 64111",39.05556956,-94.59324173,Apartment
159,"4623 NE Winn Rd, Kansas City, MO 64117",39.18021965,-94.53008869,Apartment
160,"1407 NW 65th Ter, Kansas City, MO 64118",39.21284455,-94.59805806,Apartment
161,"10601 Jefferson St, Kansas City, MO 64114",38.93556622,-94.59910308,Apartment
162,"1103 Grand Blvd, Kansas City, MO 64106",39.1009245,-94.5804243,Apartment
163,"100-112 W 103rd St, Kansas City, MO 64114",38.9420038,-94.6065072,Apartment
164,"900 NW 79th Ter, Kansas City, MO 64118",39.23816127,-94.59121801,Apartment
165,"9800 Cherry St, Kansas City, MO 64131",38.949655,-94.585294,Apartment
166,"3930 Troost Ave, Kansas City, MO 64110",39.05513565,-94.57266215,Apartment
167,"8701 Chestnut Cir, Kansas City, MO 64131",38.969861,-94.584145,Apartment
168,"6522 NE 43rd Ter, Kansas City, MO 64117",39.17236,-94.503366,Apartment
169,"8517 Holmes Rd, Kansas City, MO 64131",38.97343515,-94.58108495,Apartment
170,"5852 E 20th St, Kansas City, MO 64126",39.0867237,-94.5142681,Apartment
171,"811 Grand Blvd, Kansas City, MO 64106",39.10395,-94.58011091,Apartment
172,"1006 Grand Blvd, Kansas City, MO 64106",39.1020829,-94.58118338,Apartment
173,"300 W Armour Blvd, Kansas City, MO 64111",39.06427865,-94.5892761,Apartment
174,"2101 Vine St, Kansas City, MO 64108",39.08655085,-94.56327498,Apartment
175,"3243 Denver, Kansas City, MO 64128",39.0661958,-94.52218427,Apartment
176,"16301 E 48th Ter, Kansas City, MO 64136",39.03172162,-94.38913989,Apartment
177,"2140 W 137th Ter, Leawood, KS 66224",38.87893155,-94.60965865,Apartment
178,"3550 Rainbow Blvd, Kansas City, KS 66103",39.0603642,-94.6130822,Apartment
179,"2966 Francis St, Kansas City, KS 66103",39.06613667,-94.61001149,Apartment
